,상품이름,가격(원가)
979,(CD) 블루 아카이브 2.5주년 기념 OST CD 앨범 패키지 (BLUE ARCHIVE 2.5th ANNIVERSARY OST - C...,"39,000원"
980,[출판사 휴먼어린이]휴먼어린이/ 나의 첫 역사책(전20권),"182,000원"
981,(5월21일부터발송) 2024 CRUSH PAJAMA SET _ L SIZE 크러쉬MD,"48,000원"
982,전세계 100만부 판매 블록 북 시리즈 7종(건설/상어/공룡/숫자/우주/농장/사랑)최신간 포함 선택구매,"21,000원"
983,[출판사 어스본코리아]동물 오케스트라의 차이콥스키 사운드북 우리 아기 오감발달,"12,350원"
984,[천재교육]돌잡이 영어(전 33종+디지털앱) - 펜 미포함,"123,200원"
985,픽토리 마더구스 10종 세트 Mother Goose Nursery Rhymes,"132,000원"
986,미국과학표준및 과학읽기탐구교재/내셔널지오그래픽/센게이지레벨드/Exploing Science,"178,800원"
987,지학사 중학독서평설 1년 정기구독,"119,240원"
988,특가 - 색색깔깔3 생각놀이책 골라담기,"9,000원"
989,(다산) 흔한남매 불꽃 튀는 우리말 1-5 전5권 (각권 따라쓰기 연습장 포함),"29,900원"
990,[윌라]윌라 오디오북 전자책 통합 멤버십 12개월권 (쿠폰익일 발송/주말제외),"103,950원"
991,[출판사 은하수](10% 카드할인) 초등학생을 위한 세계 명작 시리즈 56종 특가 / 추가 5% 쿠폰 / 최종가 4710원 무료배송,"5,500원"
992,(5월13일부터발송) 2024 CRUSH OFFICIAL LIGHT STICK 크러쉬MD,"14,000원"
993,(버전선택) COSMOPOLITAN Shine 코스모폴리탄 샤인 데이식스 에디션,"53,100원"
994,[출판사 봄이아트북스]사랑해 보비 세트 (전40권),"69,000원"
995,교양으로 읽는 용선생 세계사 1~15권 세트(아동도서+문구세트+노트 증정):완간,"198,900원"
996,(할인특가) 아람키즈-바나나 세계 창작 시리즈 : 옵션선택,"37,800원"
997,시공주니어_에릭칼 기획전 세트/낱권 선택구매,"162,520원"
998,(특가) 고구마머리TV 세트 (전6권 세트),"63,000원"
999,5월 8일출고 /팔레트 명화 30권 + 증정도서 6권 + 미술활동지 (미대엄마 5/1),"208,000원"
1000,(3권이상 무배) (초필살) 초등 맞춤법/영어/수학/속담/낱말퍼즐/스도쿠/관용어/시계달력 : 2024 신간 출시,"2,990원"
1001,(전국) 키즈 테마파크 챔피언1250/블랙벨트 29개점|키즈카페|키즈|플레이타임|챔피언|실내놀이터,"15,040원"
1002,대전 오월드 자유이용권(3/1~)/대전놀이공원/놀이동산/동물원/여행/관광/체험/테마파크/아이랑가볼만한곳,"20,930원"
1003,|최대15만원할인| 제주신라호텔 (룸온리 / 2인 조식 or 중식 패키지 / 9월까지 투숙가능),"229,000원"
1004,은평 볼베어파크 실내 키즈카페 가볼만한곳,"21,390원"
1005,(용인) 에버랜드 오후이용권 (방문날짜지정) (~6/8),"32,900원"
1006,(공식판매처) 용인 캐리비안베이 로 종일권/오후권 (4/20~5/17),"21,850원"
1007,대전 엑스포 아쿠아리움 입장권(6/1~)/대전 신세계 백화점/아이랑/가볼만한곳/실내데이트/데이트,"20,000원"
1008,(문자발송) 국내 인천/김포/김해 공항 라운지 이용권 마티나 스카이허브 라운지엘,"30,370원"
1009,|최대15만원할인||G-live 특가| 인스파이어 엔터테인먼트 리조트 4종 패키지 + 공통혜택,"232,940원"
1010,|최대20%할인|반짝특가|제주 아쿠아플라넷 입장권|아쿠아리움|유미의세포전|오션아레나공연|제주수족관,"34,000원"
1011,(영등포) 씨랄라 워터파크 종일권오후권 (~05.31),"16,830원"
1012,(룸 업그레이드)그랜드 하얏트 제주 (킹룸2박+조식2명X2회+카페8/피자음료...,"728,000원"
1013,[대명리조트](문자전송)소노벨 변산 오션플레이 입장권(종일권) 구 대명 변산 아쿠아월드,"20,240원"
1014,(용인) 에버랜드 종일이용권 (방문날짜지정) (~6/8),"42,300원"
1015,부산 벡스코 상상체험 키즈월드/키즈카페/실내놀이터/가볼만한곳/킨텍스/엑스코/놀이동산/테마파크,"14,250원"
1016,(인천 중구) 파라다이스시티 원더박스(3/16~5/31),"18,580원"
1017,웅진플레이도시 워터파크온천스파 로우시즌 입장권(~5/31),"23,660원"
1018,아쿠아플라넷 광교 이용권(5/1~6/30),"22,380원"
1019,|최대20%할인| 소노벨 천안 오션어드벤처 종일권 (대인/소인 주중/주말 공통),"21,050원"
1020,(당일사용가능) 이천 테르메덴 풀앤스파 종일권 (대/소 공통),"21,770원"
1021,부천 볼베어파크 이용권 / 웅진플레이 바운스 정글짐 스포츠 키즈카페 가볼만한곳,"20,000원"
1022,| 세부 | 제이파크 아일랜드 리조트 워터파크 (2박이상 투숙시 특가 제공),"359,340원"
1023,| 세부 | 샹그릴라 막탄 세부,"346,400원"
1024,통영 스카이라인 루지 이용권/통영가볼만한곳/경남루지/가족여행/테마파크/케이블카/놀거리/키즈카페/경주,"32,300원"
1025,|당일사용/문자발송| 과천 서울랜드 어린이 종일 파크 이용권 /놀이공원/테마파크/나들이/가족/여행/소풍,"25,290원"
1026,(강원 정선) 하이원리조트 워터월드 준성수기 이용권 (5/1~7/11),"20,520원"
1027,대전 아쿠아리움 입장권/대전아쿠아플라넷/수족권/아이랑/키즈카페/가볼만한곳/여행/체험/데이트,"16,650원"
1028,경주 365일 힐링파크 엑스포대공원 이용권/경주여행/경주월드/경주가볼만한곳/보문관광단지/경주벚꽃,"8,370원"
1029,김해 가야랜드 엔젤파크 입장권/눈썰매| 경남테마파크 | 김해놀이공원 | 김해 테마파크,"13,950원"
1030,한국민속촌 (어린이날 프로모션) 한국민속촌 플레이모빌(세종대왕)PKG/용인데이트/민속촌,"18,430원"
1031,아쿠아플라넷 여수 (구매다음날~05.31),"27,900원"
1032,파라다이스호텔리조트 파라다이스시티(인천 호텔/중구/인천국제공항(중,"299,200원"
1033,[대명리조트](문자발송) 델피노 오션플레이 워터파크 종일권 아쿠아월드 고성 소노문 소노캄,"23,830원"
1034,(경기) 애니멀 테마파크 동물원 주렁주렁 하남점 실내 먹이주기 체험,"20,210원"
1035,|최대20%할인|제주 스누피가든 입장권|제주여행|제주스누피,"13,000원"
1036,(서울 잠실) 롯데월드타워 전망대 서울스카이 입장권 5월,"21,600원"
1037,(부산) 센텀 스파랜드 ~05/31,"15,360원"
1038,봄맞이 2024 부산 씨라이프 아쿠아리움 연간회원권,"57,000원"
1039,랜딩관 제주신화월드 호텔앤리조트(제주 호텔/서귀포/중문),"105,000원"
1040,인천 강화옥토끼우주센터/ 우주과학체험관 테마파크 공룡의숲 아이와 가볼만한곳,"15,230원"
1041,경주월드 5월 파크이용권 종일/오후/도투락빌리지/야간개장,"20,280원"
1042,[대명리조트]천안오션어드벤처 입장권 대인/소인권 주중/주말,"21,800원"
1043,롯데워터파크 (문자발송) 롯데워터파크 김해 미들시즌 종일권(5/4~5/24),"20,430원"
1044,경남 거제 씨월드 입장권/돌고래/체험/아쿠아리움/수족관/경남/경상도/벨루가/아이랑가볼만한곳,"20,370원"
1045,|최대15만원할인|세인트존스 호텔 (강원/강릉/경포대/강릉호텔)(강원 호텔/,"110,000원"
1046,대구 엘리바덴 신월성점 찜질스파 6시간권 (구매 후 1시간 후 부터 사용가능),"15,360원"
1047,서울/일산/세종 뽀로로파크 1회 입장권 (~5/31),"20,000원"
1048,제주 제주투어패스 프리패스 자유이용권 / 여행 관광지 체험 액티비티 우도 여객선 승마 카트 공연 패키지,"16,470원"
1049,(문자발송) 어뮤즈스파 진주점 사우나/찜질/패키지 이용권,"20,000원"
1050,[비발디파크](문자발송) 비발디파크 오션월드 종일권+실내/실외락카+이지패스(대명리조트 홍천 워터파크)소인기준,"21,160원"
1051,(문자발송)충남 아산 스파비스 (4/5~6/30) 온천 스파 워터파크 충청,"23,000원"
1052,(인천 중구) 파라다이스시티 씨메르 아쿠아스파 (03/01~05/31),"40,800원"
1053,경주 보문호수 위 다이나믹한 즐거움 경주 루지월드/가볼만한곳/놀이공원/놀이동산/테마파크/경주벚꽃,"24,090원"
1054,경포아쿠아리움 / 어린이 체험 / 강원도가볼만한 곳 / 강릉속초수족관,"12,920원"
1055,한국민속촌 한국민속촌 이용권(~5/31)/용인데이트/민속촌,"19,800원"
1056,강원 웰리힐리파크 워터플래닛 종일권(4.27~7.12),"29,450원"
1057,(문자발송) 휘닉스 파크 블루캐니언 대인/소인 입장권 워터파크 스파 강원도,"34,220원"
1058,부산 해운대 블루라인파크 스카이캡슐 탑승권(당일 예약 불가),"33,000원"
1059,그랜드 조선 부산(부산 호텔/해운대/해운대 (센텀송정달맞이)),"237,600원"
1060,[대명리조트](문자발송) 쏠비치 양양 오션플레이 (대명리조트 워터파크 오션어드벤처 아쿠아월드),"17,480원"
1061,[비발디파크]오션월드 당일바로사용 구명조끼포함 실내외락카 소인권,"24,000원"
1062,스플라스리솜 워터파크 이용권/스플라스/리솜/덕산워터파크 (5.01~6.30),"16,170원"
1063,|최대15만원할인|제주 서귀포| 호텔 더본 제주,"158,730원"
1064,당일특가 라한셀렉트 경주 (경북 호텔/경주),"129,000원"
1065,제주 휴애리 수국축제 / 제주도 사계절 내내 꽃축제 자연생활공원,"8,280원"
1066,(대구) 이월드 자유이용권 5월,"22,950원"
1067,소노캄 거제(경남 리조트/거제/고성),"161,000원"
1068,|최대15만원할인|스카이베이호텔 경포(강원 호텔/강릉/동해/삼척/양양/고성/,"121,000원"
1069,르부르낙산 바이 체스터톤스(강원 호텔/양양/홍천/인제/철원),"72,000원"
1070,(강원) 동해보양온천스파 이용권 | 해수수영장 이용권,"16,190원"
1071,인터컨티넨탈 서울 코엑스(서울 호텔/강남/역삼/삼성/신사/청담),"235,000원"
1072,전북투어패스 통합이용권/전주여행/한옥마을/남원/무주/임실/익산/군산/부안/고창,"12,900원"
1073,|최대15만원할인|휘닉스 리조트 평창(강원 호텔/평창/정선/횡성/워터파크),"150,000원"
1074,(경남) 마산 로봇랜드 종일 이용권 5월,"19,860원"
1075,군위 삼국유사 테마파크/경북투어패스/군위여행/경북 물놀이/대구근교 아이랑/경북여행,"6,510원"
1076,아르떼 리조트 스파 풀빌라(경남 리조트/사천/남해/진주/하동),"129,000원"
1077,당일특가 라한호텔 전주(전북 호텔/전주),"115,000원"
1078,정동진 썬크루즈호텔(강원 호텔/강릉/동해/삼척),"88,000원"
1079,아산 퍼스트빌리지 공룡월드/백악기월드/워킹공룡쇼/아산키즈카페/아산마술쇼/아산아이와가볼만한곳,"14,880원"
1080,|최대15만원할인|소노벨 비발디파크 B.C(강원 리조트/홍천/양양/인제/철원/리,"115,000원"
1081,소노벨 경주(경북 리조트/경주),"127,000원"
1082,소노벨 변산 리조트 (전북 리조트/부안/군산/익산/진안/무주),"120,000원"
1083,(당일사용/문자발송) 과천 서울랜드 종일 파크 이용권 /놀이공원/테마파크/나들이/가족/여행/소풍/현장학습,"29,990원"
1084,|제주|아쿠아플라넷 입장권+제주가볼만한곳,"33,370원"
1085,롯데월드 어드벤처 종합파크이용권 5월,"24,000원"
1086,특가 / 부산 해운대 블루라인파크 캡슐+열차 패키지 탑승권(당일 예약 불가),"53,350원"
1087,용평리조트 워터파크 종일권(~7/12),"19,480원"
1088,(룸 업그레이드)그랜드 하얏트 제주 (킹룸1박+조식2명+라운지38 베이커리SET),"379,000원"
1089,(과천) 매직플로우 원더파크 서울대공원점 (그랜드오픈),"15,560원"
1090,양주 두리랜드+글로벌스페이스 패키지(당일구매/당일사용 불가)/글로벌스페이스/양주키즈카페/체험/박물관,"24,180원"
1091,아쿠아필드 안성 찜질스파 (05/01~05/31),"16,320원"
1092,코엑스 아쿠아리움 24년 5월 입장권 (5/4~5/6제외),"21,850원"
1093,[대명리조트](문자전송)쏠비치 삼척 오션플레이 입장권(종일권) 구 삼척 아쿠아월드,"20,700원"
1094,뽀로로테마파크 다산_뽀로로파크 존(5월),"19,400원"
1095,부산 해운대 블루라인파크 캡슐+열차 패키지 탑승권(당일 예약 불가),"55,000원"
1096,| 타이베이 | 리젠트 타이베이 IHG 호텔,"247,600원"
1097,[비발디파크]홍천 오션월드할인 입장권 구명조끼 당일구매 바로입장 오션월드 입장권 종일권 구명조끼 이지패스 당일사용,"25,000원"
1098,노랑풍선 단독 싱가포르 속 파라다이스 센토사 호텔 3박+NO쇼핑+전일 관광,"1,053,550원"
1099,아쿠아필드 고양 찜질스파 (05/01~05/31),"16,320원"
1100,구리 플레이티카 이용권(~24.06.30까지),"16,200원"
1101,[메가박스](BSD 전용 쿠폰적용가 6천원) 메가박스 일반예매권 2D주중/주말,"15,000원"
1102,[컬쳐랜드](클럽전용) 컬쳐랜드 모바일문화상품권 5만원,"46,500원"
1103,[문화상품권](클럽전용) 온라인문화상품권 5만원 (스마일캐시 직접충전 가능),"46,500원"
1104,(유니버스클럽 전용 쿠폰적용가 5천원) 메가박스 일반예매권 2D-주중/주말,"15,000원"
1105,[컬쳐랜드](컬쳐랜드) 모바일문화상품권 5만원권 /컬쳐캐시 충전,"46,750원"
1106,[도서문화상품권](클럽전용) 북앤라이프 도서문화상품권 5만원권 / 온라인전용,"46,500원"
1107,[한국투자증권](한국투자증권) 온라인 금융상품권 5만원/현금전용,"50,000원"
1108,[컬쳐랜드](컬쳐랜드)(PIN발송) 모바일 문화 상품권 5만원권 / 신용카드 핀번호전송 온라인,"46,740원"
1109,[컬쳐랜드](컬쳐랜드) 모바일문화상품권 3만원권 /컬쳐캐시 충전,"28,050원"
1110,[해피머니상품권](해피머니) 온라인 상품권 5만원권 / 핀발송 / 신용카드 모바일 핀번호전송,"46,740원"
1111,[구글플레이]기프트코드 3만원 / 구글 기프트카드,"28,950원"
1112,[현대백화점](현대백화점) 현대 모바일교환권 10만원,"98,000원"
1113,[구글플레이]기프트코드 10만원 / 구글 기프트카드,"96,500원"
1114,[구글플레이]기프트코드 5만원 / 구글 기프트카드,"48,250원"
1115,[요기요](요기요) 5만원권,"50,000원"
1116,(NE능률) NELT 응시권 1회권/3+1회권,"30,000원"
1117,[컬쳐랜드](컬쳐랜드) 모바일문화상품권 1만원권 /컬쳐캐시 충전,"9,500원"
1118,[배달의민족](배달의민족) 5만원권,"50,000원"
1119,[구글플레이]기프트코드 1만원 / 구글 기프트카드,"9,650원"
1120,[이마트](특판) (이마트) 모바일 금액권 5만원권 (전액사용형),"48,750원"
1121,[CU]CU 모바일금액권 3천원권,"3,000원"
1122,[문화상품권]온라인문화상품권 5만원 (스마일캐시 직접충전 가능),"46,750원"
1123,[이디야커피](이디야커피) ICED 카페라떼(L),"3,200원"
1124,[구글플레이]기프트코드 1만 5천원 / 구글 기프트카드,"14,470원"
1125,[CGV](CGV) 5월 G마켓 예매권(2D),"10,600원"
1126,[문화상품권]온라인문화상품권 3만원 (스마일캐시 직접충전 가능),"28,050원"
1127,[구글플레이]기프트코드 20만원 / 구글 기프트카드,"193,000원"
1128,[GS25](GS25) GS25모바일금액상품권1만원,"9,500원"
1129,[빕스](빕스/이디야) 페이즈 기프트 외식 5만원권,"47,500원"
1130,[SFG우설화](SFG신화푸드) 페이즈 통합 디지털 5만원권,"46,000원"
1131,[이마트](이마트) 모바일 금액권 5만원권 (잔액관리형),"48,750원"
1132,[스타벅스](스타벅스) 아이스 카페 아메리카노 T,"4,500원"
1133,[GS25]GS25 모바일상품권 3천원권,"3,000원"
1134,[스타벅스]스타벅스 e카드 5만원 교환권,"50,000원"
1135,[스타벅스](스타벅스) (APP전용) e카드 3만원 교환권,"30,000원"
1136,[스타벅스](스타벅스)(APP전용) e카드 10만원 교환권,"100,000원"
1137,[스타벅스](스타벅스) (APP전용) e카드 5만원 교환권,"50,000원"
1138,[컬쳐랜드](컬쳐랜드) 모바일문화상품권 5천원권 /컬쳐캐시 충전,"4,750원"
1139,[스타벅스](스타벅스) (APP전용) e카드 2만원 교환권,"20,000원"
1140,[이디야커피](이디야커피) ICED 달달커피(L),"2,200원"
1141,[신세계상품권](특판)(신세계상품권) 10만원(신세계백화점 지류교환),"99,000원"
1142,[요기요](요기요) 1만원권,"10,000원"
1143,[구글플레이]기프트코드 5천원 / 구글 기프트카드,"4,820원"
1144,[GS25](GS25) GS25모바일금액상품권5천원,"4,750원"
1145,[배달의민족](배달의민족) 5만원 상품권 교환권,"50,000원"
1146,[에그머니](에그머니) 온라인게임상품권 5만원,"45,750원"
1147,[넥슨](넥슨카드)(PIN발송) 온라인게임상품권 5만원,"47,500원"
1148,[스타벅스](스타벅스) 돌체 콜드 브루 T,"6,000원"
1149,[CU](CU) 모바일금액권 1만원/ 실시간발송,"9,700원"
1150,[CU](CU) 모바일금액권 3만원/ 실시간발송,"29,100원"
1151,[구글플레이]기프트코드 15만원 / 구글 기프트카드,"144,750원"
1152,[스타벅스](스타벅스) e카드교환권 10만원권,"100,000원"
1153,[배달의민족](배달의민족) 2만원 상품권 교환권,"20,000원"
1154,[도서문화상품권](북앤라이프) 도서문화상품권 3만원권 / 온라인전용,"28,050원"
1155,[문화상품권]온라인문화상품권 1만원 (스마일캐시 직접충전 가능),"9,500원"
1156,[도서문화상품권](북앤라이프) 도서문화상품권 5만원권 / 온라인전용,"46,750원"
1157,[던킨](던킨) 제품교환권 1만원권 (일시사용),"8,000원"
1158,[던킨](던킨) 먼치킨 10개팩,"3,850원"
1159,[CU]CU 모바일상품권 3천원권,"3,000원"
1160,[배달의민족](배달의민족) 3만원 상품권 교환권,"30,000원"
1161,[신세계상품권](특판)(신세계상품권) 20만원(신세계백화점 지류교환),"198,000원"
1162,[CU]CU 모바일금액권 5천원권,"5,000원"
1163,[메가박스](메가박스) 2인 패키지,"31,320원"
1164,[메가MGC커피](메가MGC커피) (ICE)아메리카노,"2,000원"
1165,[SOil](S-OIL) 에쓰-오일 모바일주유상품권 5만원권,"50,000원"
1166,[스타벅스](스타벅스) e카드교환권 5만원권,"50,000원"
1167,[SK텔레콤](SK텔레콤) T데이터쿠폰 5GB,"23,100원"
1168,[컴포즈커피](컴포즈커피) 아메리카노(Ice)(TAKE-OUT),"1,500원"
1169,[DB금융투자](DB금융투자) 3만원 교환권 / 계좌이체 전용,"30,000원"
1170,[도서문화상품권](북앤라이프)(PIN발송) 도서문화상품권 5만원,"46,740원"
1171,[커피빈](커피빈) 모바일교환권 3만원권,"26,100원"
1172,[메가MGC커피](메가MGC커피) 디지털 1만원권,"9,600원"
1173,[스타벅스](스타벅스) 아이스 카페 라떼 T,"5,000원"
1174,[해피머니상품권](해피머니) 온라인상품권 5만원,"47,750원"
1175,[이마트](특판) (이마트) 모바일 금액권 3만원권 (전액사용형),"29,250원"
1176,[투썸플레이스](투썸플레이스) 스트로베리 초콜릿 생크림,"35,890원"
1177,[스타벅스]스타벅스 e카드 3만원 교환권,"30,000원"
1178,[올리브영](올리브영) 기프트카드 5만원권(즉시사용가능),"50,000원"
1179,[DB금융투자](DB금융투자) 5만원 교환권 / 계좌이체 전용,"50,000원"
1180,[요기요](요기요) 5만원권,"50,000원"
1181,[요기요](요기요) 1만원권,"10,000원"
1182,[롯데상품권](롯데모바일상품권) 10만원권,"100,000원"
1183,[KFC](KFC) 모바일금액권 2만원권,"19,600원"
1184,[도서문화상품권](북앤라이프) 도서문화상품권 2만원권 / 온라인전용,"19,000원"
1185,[해피머니상품권](해피머니) 온라인상품권 3만원,"28,650원"
1186,[빕스](빕스/이디야) 페이즈 기프트 외식 3만원권,"28,500원"
1187,[신세계상품권]신용카드 /백화점상품권/롯데/신세계상품권 10만원권,"97,700원"
1188,[컬쳐랜드](컬쳐랜드) 모바일문화상품권 3천원권 /컬쳐캐시 충전,"2,850원"
1189,[커피빈](커피빈) 모바일교환권 1만원권,"8,700원"
1190,[요기요](요기요) 2만원권,"20,000원"
1191,[배스킨라빈스](배스킨라빈스) 모바일 3만원권,"30,000원"
1192,[맥도날드](맥도날드) 디지털 1만원권,"9,800원"
1193,[메가MGC커피](메가MGC커피) (ICE)메가리카노,"3,000원"
1194,[CU]CU 모바일금액권 1천원권,"1,000원"
1195,[요기요](요기요) 3만원권,"30,000원"
1196,[메가박스](메가박스) 2인권,"25,480원"
1197,[맥도날드](맥도날드) 디지털 2만원권,"19,600원"
1198,[GS25]GS25 모바일금액권 3천원권,"3,000원"
1199,[메가MGC커피](메가MGC커피) (HOT)아메리카노,"1,500원"
1200,[롯데리아](롯데리아) GRS 모바일금액권 1만원권,"9,600원"
